raw_symbol,name,sector,index,market,ticker
MSM,MSC Industrial Direct,Industrials,SP400,US,MSM
MTDR,Matador Resources,Energy,SP400,US,MTDR
MTG,MGIC Investment Corporation,Financials,SP400,US,MTG
MTN,Vail Resorts,Consumer Discretionary,SP400,US,MTN
MTSI,MACOM Technology Solutions,Information Technology,SP400,US,MTSI
MTZ,MasTec,Industrials,SP400,US,MTZ
MUR,Murphy Oil,Energy,SP400,US,MUR
MUSA,Murphy USA,Consumer Discretionary,SP400,US,MUSA
MZTI,The Marzetti Company,Consumer Staples,SP400,US,MZTI
NBIX,Neurocrine Biosciences,Health Care,SP400,US,NBIX
NEU,NewMarket Corporation,Materials,SP400,US,NEU
NFG,National Fuel Gas,Utilities,SP400,US,NFG
NJR,New Jersey Resources,Utilities,SP400,US,NJR
NLY,Annaly Capital Management,Financials,SP400,US,NLY
NNN,NNN Reit,Real Estate,SP400,US,NNN
NOV,NOV Inc.,Energy,SP400,US,NOV
NOVT,Novanta,Information Technology,SP400,US,NOVT
NTNX,Nutanix,Information Technology,SP400,US,NTNX
NVST,Envista Holdings,Health Care,SP400,US,NVST
NVT,nVent Electric plc,Industrials,SP400,US,NVT
NWE,NorthWestern Energy,Utilities,SP400,US,NWE
NXST,Nexstar Media Group,Communication Services,SP400,US,NXST
NXT,Nextpower,Industrials,SP400,US,NXT
NYT,New York Times Company,Communication Services,SP400,US,NYT
OC,Owens Corning,Industrials,SP400,US,OC
OGE,OGE Energy,Utilities,SP400,US,OGE
OGS,One Gas,Utilities,SP400,US,OGS
OHI,Omega Healthcare Investors,Real Estate,SP400,US,OHI
OKTA,"Okta, Inc.",Information Technology,SP400,US,OKTA
OLED,Universal Display,Information Technology,SP400,US,OLED
OLLI,Ollie's Bargain Outlet,Consumer Discretionary,SP400,US,OLLI
OLN,Olin Corporation,Materials,SP400,US,OLN
ONB,Old National Bank,Financials,SP400,US,ONB
ONTO,Onto Innovation,Information Technology,SP400,US,ONTO
OPCH,Option Care Health,Health Care,SP400,US,OPCH
ORA,Ormat Technologies,Utilities,SP400,US,ORA
ORI,Old Republic International,Financials,SP400,US,ORI
OSK,Oshkosh,Industrials,SP400,US,OSK
OVV,Ovintiv,Energy,SP400,US,OVV
OZK,Bank OZK,Financials,SP400,US,OZK
P,Everpure,Information Technology,SP400,US,P
PAG,Penske Automotive Group,Consumer Discretionary,SP400,US,PAG
PATH,UiPath,Information Technology,SP400,US,PATH
PB,Prosperity Bancshares,Financials,SP400,US,PB
PBF,PBF Energy,Energy,SP400,US,PBF
PCTY,Paylocity,Industrials,SP400,US,PCTY
PEGA,Pegasystems,Information Technology,SP400,US,PEGA
PEN,"Penumbra, Inc.",Health Care,SP400,US,PEN
PFGC,Performance Food Group,Consumer Staples,SP400,US,PFGC
PII,Polaris,Consumer Discretionary,SP400,US,PII
PINS,Pinterest,Communication Services,SP400,US,PINS
PK,Park Hotels & Resorts,Real Estate,SP400,US,PK
PLNT,Planet Fitness,Consumer Discretionary,SP400,US,PLNT
PNFP,Pinnacle Financial Partners,Financials,SP400,US,PNFP
POR,Portland General Electric,Utilities,SP400,US,POR
POST,Post Holdings,Consumer Staples,SP400,US,POST
PPC,Pilgrim's Pride,Consumer Staples,SP400,US,PPC
PR,Permian Resources,Energy,SP400,US,PR
PRI,Primerica,Financials,SP400,US,PRI
PSN,Parsons Corporation,Industrials,SP400,US,PSN
PVH,PVH Corp.,Consumer Discretionary,SP400,US,PVH
QLYS,Qualys,Information Technology,SP400,US,QLYS
R,Ryder,Industrials,SP400,US,R
RBA,RB Global,Industrials,SP400,US,RBA
RBC,RBC Bearings,Industrials,SP400,US,RBC
REXR,Rexford Industrial Realty,Real Estate,SP400,US,REXR
RGA,Reinsurance Group of America,Financials,SP400,US,RGA
RGEN,Repligen,Health Care,SP400,US,RGEN
RGLD,Royal Gold,Materials,SP400,US,RGLD
RH,RH,Consumer Discretionary,SP400,US,RH
RLI,RLI Corp.,Financials,SP400,US,RLI
RMBS,Rambus,Information Technology,SP400,US,RMBS
RNR,RenaissanceRe,Financials,SP400,US,RNR
ROIV,Roivant Sciences,Health Care,SP400,US,ROIV
ROKU,"Roku, Inc.",Communication Services,SP400,US,ROKU
RPM,RPM International,Materials,SP400,US,RPM
RRC,Range Resources,Energy,SP400,US,RRC
RRX,Regal Rexnord,Industrials,SP400,US,RRX
RS,"Reliance, Inc.",Materials,SP400,US,RS
RYAN,Ryan Specialty,Financials,SP400,US,RYAN
RYN,Rayonier,Real Estate,SP400,US,RYN
SAIA,Saia,Industrials,SP400,US,SAIA
SAIC,Science Applications Intl Corp,Industrials,SP400,US,SAIC
SAM,Boston Beer Company,Consumer Staples,SP400,US,SAM
SANM,Sanmina Corporation,Information Technology,SP400,US,SANM
SARO,StandardAero,Industrials,SP400,US,SARO
SBRA,Sabra Health Care REIT,Real Estate,SP400,US,SBRA
SCI,Service Corp Intl,Consumer Discretionary,SP400,US,SCI
SEIC,SEI Investments Company,Financials,SP400,US,SEIC
SF,Stifel,Financials,SP400,US,SF
SFM,Sprouts Farmers Market,Consumer Staples,SP400,US,SFM
SGI,Somnigroup International,Consumer Discretionary,SP400,US,SGI
SHC,Sotera Health,Health Care,SP400,US,SHC
SIGI,Selective Insurance Group,Financials,SP400,US,SIGI
SIRI,SiriusXM,Communication Services,SP400,US,SIRI
SITM,SiTime,Information Technology,SP400,US,SITM
SLAB,Silicon Labs,Information Technology,SP400,US,SLAB
SLGN,Silgan Holdings,Materials,SP400,US,SLGN
SLM,SLM Corp,Financials,SP400,US,SLM
SMG,Scotts Miracle-Gro Company,Materials,SP400,US,SMG
SMTC,Semtech,Information Technology,SP400,US,SMTC
SN,SharkNinja,Consumer Discretionary,SP400,US,SN
SNX,TD Synnex,Information Technology,SP400,US,SNX
SOLS,Solstice Advanced Materials,Materials,SP400,US,SOLS
SON,Sonoco,Materials,SP400,US,SON
SPXC,SPX Technologies,Industrials,SP400,US,SPXC
SR,Spire,Utilities,SP400,US,SR
SSB,South State Bank,Financials,SP400,US,SSB
SSD,Simpson Manufacturing,Industrials,SP400,US,SSD
ST,Sensata Technologies,Industrials,SP400,US,ST
STAG,STAG Industrial,Real Estate,SP400,US,STAG
STRL,Sterling Infrastructure,Industrials,SP400,US,STRL
STWD,Starwood Property Trust,Financials,SP400,US,STWD
SUI,Sun Communities,Real Estate,SP400,US,SUI
SWX,Southwest Gas Corp,Utilities,SP400,US,SWX
SYNA,Synaptics,Information Technology,SP400,US,SYNA
TCBI,Texas Capital Bancshares,Financials,SP400,US,TCBI
TEX,Terex,Industrials,SP400,US,TEX
THC,Tenet Health,Health Care,SP400,US,THC
THG,Hanover Insurance,Financials,SP400,US,THG
THO,Thor Industries,Consumer Discretionary,SP400,US,THO
TKR,Timken,Industrials,SP400,US,TKR
TLN,Talen Energy,Utilities,SP400,US,TLN
TNL,Travel + Leisure Co.,Consumer Discretionary,SP400,US,TNL
TOL,Toll Brothers,Consumer Discretionary,SP400,US,TOL
