ticker,type,price,why
A,STOP LOSS,143.3248,"initial stop, below base support and the 30 week average"
A,BREAKEVEN,182.4134,move the stop to entry here
A,TARGET 1,212.878,"measured move, sell part of the position (2.56R)"
A,TARGET 2,254.7724,second measured move (4.7R)
WAT,BUY STOP,428.2465,"breakout trigger, above the base pivot"
WAT,BUY LIMIT,421.74,"pullback entry, old resistance acting as support"
WAT,STOP LOSS,376.8569,"initial stop, below base support and the 30 week average"
WAT,BREAKEVEN,479.6361,move the stop to entry here
WAT,TARGET 1,614.16,"measured move, sell part of the position (3.62R)"
WAT,TARGET 2,768.096,second measured move (6.61R)
OKE,BUY STOP,99.3298,"breakout trigger, above the base pivot"
OKE,BUY LIMIT,97.9,"pullback entry, old resistance acting as support"
OKE,STOP LOSS,87.4102,"initial stop, below base support and the 30 week average"
OKE,BREAKEVEN,111.2494,move the stop to entry here
OKE,TARGET 1,122.2782,"measured move, sell part of the position (1.93R)"
OKE,TARGET 2,141.7807,second measured move (3.56R)
HPQ,BUY STOP,32.8309,"breakout trigger, above the base pivot"
HPQ,BUY LIMIT,32.19,"pullback entry, old resistance acting as support"
HPQ,STOP LOSS,28.8912,"initial stop, below base support and the 30 week average"
HPQ,BREAKEVEN,36.7706,move the stop to entry here
HPQ,TARGET 1,47.8897,"measured move, sell part of the position (3.82R)"
HPQ,TARGET 2,60.4494,second measured move (7.01R)
BMRN,BUY STOP,71.9696,"breakout trigger, above the base pivot"
BMRN,BUY LIMIT,70.98,"pullback entry, old resistance acting as support"
BMRN,STOP LOSS,63.3333,"initial stop, below base support and the 30 week average"
BMRN,BREAKEVEN,80.606,move the stop to entry here
BMRN,TARGET 1,92.7,"measured move, sell part of the position (2.4R)"
BMRN,TARGET 2,110.076,second measured move (4.41R)
NDSN,BUY STOP,342.3672,"breakout trigger, above the base pivot"
NDSN,BUY LIMIT,338.55,"pullback entry, old resistance acting as support"
NDSN,STOP LOSS,301.2832,"initial stop, below base support and the 30 week average"
NDSN,BREAKEVEN,383.4513,move the stop to entry here
NDSN,TARGET 1,423.9672,"measured move, sell part of the position (1.99R)"
NDSN,TARGET 2,492.301,second measured move (3.65R)
DRI,BUY STOP,232.9538,"breakout trigger, above the base pivot"
DRI,BUY LIMIT,229.76,"pullback entry, old resistance acting as support"
DRI,STOP LOSS,204.9993,"initial stop, below base support and the 30 week average"
DRI,BREAKEVEN,260.9083,move the stop to entry here
