signal_id,first_seen,ticker,name,market,index,sector,kind,grade,status_at_signal,confirmed,stage,trend_score,stage2_readiness,stage4_readiness,mansfield_rs,sector_rs,rs_vs_sector,group_factor,regime,close_at_signal,trigger,stop,t1,t2,risk_pct,t1_r,signal_age_weeks,event_status,days_to_event,event_near_signal,liquidity_status,adv_gbp,last_seen,weeks_tracked,last_close,high_since,low_since,triggered,triggered_on,stopped,stopped_on,hit_t1,hit_t1_on,r_peak,r_now,outcome,exc_4w,exc_13w,exc_26w
JPM@2026-07-20,2026-08-17,JPM,JPMorgan Chase,US,SP500,Financials,stage2_breakout,D,live,False,Stage 2,33.0,53.6,17.3,3.0976,-0.5291,3.6606,1.0,Bull,351.5799865722656,370.2393,325.8106,456.5664,528.6195,12.0,1.94,4,event_driven,57.0,True,ok,1941854751.2307296,2026-08-31,2.0,358.64,365.75,350.37,False,,False,,False,,,,watching,,,
LH@2026-08-03,2026-08-17,LH,Labcorp,US,SP500,Health Care,stage2_breakout,D,late,False,Stage 2,78.3,26.9,3.2,12.777,-6.1583,23.7477,0.88,Bull,336.3399963378906,329.705,290.1404,403.2512,465.3881,12.0,1.86,2,event_driven,78.0,True,ok,110604708.836996,2026-08-31,2.0,326.89,341.8,315.8827,True,2026-08-17,False,,False,,0.31,-0.07,open,,,
LII@2026-08-17,2026-08-17,LII,Lennox International,US,SP500,Industrials,stage4_breakdown,C,late,True,Stage 4,-71.1,0.2,57.7,-27.5851,46.2778,-51.3271,0.88,Bull,402.8699951171875,400.6181,448.6923,235.55,94.862,12.0,3.43,0,clear,72.0,False,ok,146457264.8951252,2026-08-31,2.0,390.53,425.56,371.65,True,2026-08-24,False,,False,,0.6,0.21,open,,,
NTAP@2026-08-10,2026-08-17,NTAP,NetApp,US,SP500,Information Technology,stage2_breakout,D,late,False,Stage 2,87.3,31.8,4.5,41.4842,15.886,22.8382,1.15,Bull,192.2700042724609,212.6756,187.1545,325.1897,418.0934,12.0,4.41,1,event_ahead,16.0,False,ok,240972170.83527908,2026-08-31,2.0,185.59,207.96,161.0,False,,False,,False,,,,watching,,,
NDSN@2026-08-17,2026-08-17,NDSN,Nordson Corporation,US,SP500,Industrials,stage2_breakout,D,late,False,Stage 2,76.8,32.2,6.8,14.7312,46.2778,-22.01,0.88,Bull,332.239990234375,319.505,281.1644,378.2272,428.265,12.0,1.53,0,event_driven_and_ahead,2.0,True,ok,70246546.43889971,2026-08-31,2.0,318.36,339.12,302.92,True,2026-08-17,False,,False,,0.51,-0.03,open,,,
NSC@2026-07-20,2026-08-17,NSC,Norfolk Southern,US,SP500,Industrials,stage2_breakout,D,late,False,Stage 2,49.3,44.0,8.6,6.8043,46.2778,-27.6786,0.88,Bull,350.7200012207031,360.8554,317.5527,440.0718,506.3801,12.0,1.83,4,event_driven,66.0,True,ok,271765140.1813672,2026-08-31,2.0,329.46,355.99,325.06,False,,False,,False,,,,watching,,,
NRG@2026-08-03,2026-08-17,NRG,NRG Energy,US,SP500,Utilities,stage4_breakdown,C,late,True,Stage 4,-72.3,3.9,58.3,-32.0067,1.0772,-32.5765,0.88,Bull,113.11000061035156,108.6799,121.7215,45.0,2.8125,12.0,4.88,2,event_driven,80.0,True,ok,244674150.41253632,2026-08-31,2.0,119.02,127.53,108.34,True,2026-08-31,False,,False,,0.03,-0.79,open,,,
OMC@2026-08-10,2026-08-17,OMC,Omnicom Group,US,SP500,Communication Services,stage2_breakout,D,late,False,Stage 2,55.3,64.8,12.7,4.6839,-6.1583,14.8745,0.88,Bull,87.54000091552734,89.9321,79.1402,112.12,130.9759,12.0,2.06,1,clear,64.0,False,ok,222625333.4439917,2026-08-31,2.0,82.62,89.57,80.54,False,,False,,False,,,,watching,,,
OKE@2026-08-10,2026-08-17,OKE,Oneok,US,SP500,Energy,stage2_breakout,D,live,False,Stage 2,47.0,51.9,18.0,7.555,-2.178,,1.0,Bull,93.33000183105467,96.4984,84.9186,119.0936,138.3286,12.0,1.95,1,event_driven,71.0,True,ok,252278651.60129413,2026-08-31,2.0,95.43,99.85,91.13,True,2026-08-17,False,,False,,0.29,-0.09,open,,,
PCAR@2026-07-20,2026-08-17,PCAR,Paccar,US,SP500,Industrials,stage2_breakout,D,live,False,Stage 2,34.9,41.2,13.5,5.3966,46.2778,-28.4401,0.88,Bull,131.02999877929688,140.501,123.6409,171.2566,197.164,12.0,1.82,4,clear,71.0,False,ok,253576782.09894943,2026-08-31,2.0,124.7,132.43,121.18,False,,False,,False,,,,watching,,,
PKG@2026-07-20,2026-08-17,PKG,Packaging Corporation of America,US,SP500,Materials,stage2_breakout,D,live,False,Stage 2,41.4,47.8,10.5,5.9812,-6.1583,16.1049,0.88,Bull,252.7899932861328,263.2966,231.701,320.0327,368.0748,12.0,1.8,4,event_driven,65.0,True,ok,112895550.4091808,2026-08-31,2.0,237.25,255.6,227.65,False,,False,,False,,,,watching,,,
